Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
7.53,0.12,93.11,31.86,31.86
6.93,1.13,93.26,31.86,31.72
7.33,1.3,93.11,31.72,31.72
7.54,0.11,93.11,31.72,31.72
7.5,2.43,92.97,31.72,31.72
7.54,0.1,93.11,31.72,31.58
7.31,1.18,93.26,31.58,31.58
7.38,5.85,93.26,31.58,31.58
7.35,1.21,93.4,31.58,31.58
7.38,1.03,93.4,31.58,30.87
6.94,4.71,93.4,30.87,30.87
7.53,0.1,93.4,30.87,30.87
7.36,4.38,93.26,30.87,30.87
6.9,0.12,93.4,30.87,30.72
7.32,1.33,93.4,30.72,30.72
7.52,0.13,93.55,30.72,30.72
7.36,1.18,93.55,30.72,30.3
7.54,0.1,93.55,30.3,30.01
7.33,3.24,93.69,30.01,30.01
7.5,0.11,93.55,30.01,30.01
7.34,1.32,93.84,30.01,30.01
7.09,1.08,93.69,30.01,29.87
7.53,0.1,93.84,29.87,29.87
7.25,6.25,93.55,29.87,29.73
7.41,0.1,93.69,29.73,29.3
7.41,0.88,93.69,29.3,29.3
7.32,3.68,93.98,29.3,29.3
7.35,1.23,93.84,29.3,29.16
7.53,0.11,93.69,29.16,28.88
6.81,2.02,93.84,28.88,28.88
7.34,1.29,93.98,28.88,28.88
7.53,0.08,93.69,28.88,28.88
6.87,1.36,93.84,28.88,28.73
7.32,1.32,93.84,28.73,28.73
7.33,2.7,93.69,28.73,28.73
7.52,0.12,93.84,28.73,28.45
7.36,1.3,93.84,28.45,28.45
7.37,1.02,93.98,28.45,28.45
7.52,0.19,93.84,28.45,28.31
6.95,1.16,93.69,28.31,28.31
7.31,1.3,93.55,28.31,28.31
7.3,1.32,93.98,28.31,28.31
7.39,0.97,93.69,28.31,28.02
7.34,1.33,93.84,28.02,28.02
7.33,1.2,93.84,28.02,28.02
7.32,1.32,93.84,28.02,27.74
7.32,1.32,93.84,27.74,27.74
7.53,0.08,93.84,27.74,27.74
7.53,0.09,93.84,27.74,27.74
7.51,3.1,93.69,27.74,27.45
7.32,4.7,93.98,27.45,27.31
7.32,1.14,93.69,27.31,27.31
7.53,0.09,93.69,27.31,27.17
7.54,3.28,93.55,27.17,27.17
7.32,5.48,93.55,27.17,27.17
7.31,3.02,93.69,27.17,27.03
7.31,1.32,93.69,27.03,27.03
6.82,7.27,93.55,27.03,27.03
6.83,0.09,93.84,27.03,26.88
6.74,1.22,93.69,26.88,26.88
7.52,0.11,93.69,26.88,26.88
7.32,1.29,93.69,26.88,26.6
7.32,7.18,93.69,26.6,26.6
7.34,1.32,93.69,26.6,26.6
7.29,1.31,93.69,26.6,26.6
6.98,1.32,93.84,26.6,26.03
7.31,1.25,93.98,26.03,26.03
7.3,1.25,93.98,26.03,25.89
7.31,1.25,93.98,25.89,25.6
7.35,1.12,93.98,25.6,25.6
7.31,1.28,93.98,25.6,25.32
7.32,1.29,94.13,25.32,25.18
7.31,1.3,93.84,25.18,25.03
6.95,1,93.84,25.03,24.61
7.49,5.69,93.98,24.61,24.61
7.53,6.19,93.84,24.61,24.47
7.53,3.97,93.98,24.47,24.47
7.33,1.35,94.13,24.47,24.04
7.31,1.3,94.27,24.04,24.04
7.32,1.26,94.27,24.04,24.04
7.33,1.31,94.27,24.04,23.9
7.31,5.6,94.13,23.9,23.75
7.31,1.12,94.27,23.75,23.61
7.3,1.23,94.13,23.61,23.33
7.31,1.25,93.98,23.33,23.33
7.33,5.94,94.13,23.33,23.33
7.3,0.95,94.13,23.33,23.04
7.34,1.15,94.42,23.04,23.04
7.3,1.23,94.13,23.04,22.9
6.53,1.2,94.13,22.9,22.9
7.34,1.21,94.13,22.9,22.76
7.3,1.23,94.13,22.76,22.76
7.32,1.2,94.27,22.76,22.76
7.02,1.17,94.27,22.76,22.33
6.67,1.25,94.27,22.33,22.19
7.32,3.36,94.42,22.19,22.19
7.35,1.07,94.13,22.19,22.05
7.38,1.06,94.42,22.05,21.9
7.19,1.08,94.27,21.9,21.9
7.31,1.2,94.27,21.9,21.9
7.35,1.15,94.27,21.9,21.76
7.48,0.08,94.13,21.76,21.62
7.36,1.05,94.27,21.62,21.62
7.32,1.26,94.27,21.62,21.48
7.51,0.08,94.13,21.48,21.48
7.31,1.26,94.13,21.48,21.48
7.16,1.29,94.13,21.48,20.91
7.32,1.24,94.13,20.91,20.91
7.33,1.24,94.13,20.91,20.91
7.33,1.28,93.98,20.91,20.77
7.19,1.29,93.98,20.77,20.77
7.31,1.28,94.13,20.77,20.77
7.32,1.33,94.13,20.77,20.62
7.32,1.25,93.98,20.62,20.62
7.34,1.1,94.27,20.62,20.34
7.32,1.24,94.13,20.34,20.34
7.36,1.01,94.27,20.34,20.34
7.32,3.57,93.98,20.34,19.91
7.33,3.75,94.13,19.91,19.91
7.23,4.49,94.13,19.91,19.91
7.31,1.61,93.84,19.91,19.77
7.28,0.88,93.98,19.77,19.77
6.84,0.94,93.98,19.77,19.77
7.33,5.95,93.98,19.77,19.34
7.07,1.22,94.27,19.34,19.34
7.31,1.21,94.27,19.34,19.34
7.32,1.18,94.42,19.34,19.2
7.31,0.98,94.42,19.2,19.2
7.52,0.09,94.27,19.2,19.2
7.52,0.28,94.13,19.2,19.2
6.88,6.04,94.42,19.2,19.06
7.52,0.12,94.42,19.06,19.06
7.53,0.09,94.27,19.06,19.06
7.41,0.86,94.27,19.06,18.63
7.31,3.58,94.42,18.63,18.63
7.32,1.3,94.27,18.63,18.63
7.35,0.88,94.42,18.63,18.63
7.33,1.25,94.42,18.63,18.06
7.52,0.13,94.13,18.06,18.06
7.3,1.27,94.27,18.06,18.06
6.88,0.76,94.13,18.06,17.92
7.35,7.05,94.42,17.92,17.92
7.36,1.04,94.13,17.92,17.64
6.96,1.31,94.13,17.64,17.64
7.53,0.1,94.27,17.64,17.64
6.85,0.11,94.13,17.64,17.49
7.32,1.3,93.98,17.49,17.49
7.51,0.08,93.98,17.49,17.49
7.35,1.05,93.98,17.49,17.35
7.21,1.02,93.98,17.35,17.35
7.27,0.99,94.13,17.35,17.07
7.01,1.03,93.98,17.07,16.93
6.58,1.23,93.84,16.93,16.93
7.33,4.53,93.84,16.93,16.36
7.32,1.17,93.98,16.36,16.36
7.31,1.21,93.98,16.36,16.21
7.3,1.21,94.13,16.21,15.5
7.32,1.21,94.13,15.5,15.5
7.35,0.9,94.13,15.5,15.08
7.39,1.76,94.13,15.08,14.79
7.32,0.91,94.42,14.79,14.65
7.39,0.72,94.42,14.65,14.65
7.39,0.81,94.27,14.65,14.37
7.4,4.42,94.27,14.37,14.22
6.99,0.93,94.42,14.22,14.22
7.25,3,94.42,14.22,14.08
7.4,0.9,94.56,14.08,13.94
7,0.91,94.42,13.94,13.8
7.36,0.76,94.27,13.8,13.51
7.41,1.77,94.27,13.51,13.51
7.4,0.7,94.27,13.51,13.37
7.39,0.96,94.42,13.37,13.09
6.84,1.21,94.42,13.09,13.09
7.35,0.78,94.42,13.09,12.94
7.38,0.81,94.56,12.94,12.94
7.37,1.03,94.56,12.94,12.8
7.36,0.77,94.56,12.8,12.52
7.39,3.04,94.56,12.52,12.52
7.39,0.83,94.71,12.52,12.23
7.18,0.91,94.56,12.23,12.23
7.4,3.24,94.27,12.23,11.95
6.99,0.82,94.42,11.95,11.52
7.37,0.88,94.27,11.52,11.52
6.98,0.76,94.42,11.52,11.38
7.17,0.92,94.56,11.38,11.24
7.38,0.76,94.71,11.24,11.09
7.52,0.09,94.56,11.09,10.95
7.26,1.39,94.56,10.95,10.95
6.75,1.34,94.85,10.95,10.81
7.29,4.18,94.56,10.81,10.67
6.76,1.3,94.56,10.67,10.52
7.28,1.1,94.56,10.52,10.52
7.31,5.6,94.71,10.52,10.24
7.27,1.31,94.56,10.24,9.67
7.34,6.21,94.71,9.67,9.53
7.29,1.22,94.85,9.53,9.39
7.32,1.14,94.71,9.39,9.1
6.58,1.21,94.71,9.1,8.96
7.14,1.03,94.71,8.96,8.68
7.28,1.3,94.56,8.68,8.68
7.3,5.49,94.71,8.68,8.53
7.27,1.3,94.71,8.53,8.53
7.49,0.4,94.85,8.53,8.53
7.5,0.09,94.71,8.53,8.53
7.1,5.69,94.71,8.53,8.25
7.5,0.1,94.85,8.25,7.96
7.5,0.12,94.71,7.96,7.68
7.28,1.3,94.71,7.68,7.4
6.77,1.27,94.85,7.4,6.83
7.31,1.34,94.56,6.83,6.83
7.35,0.99,94.71,6.83,6.83
7.32,1.12,94.56,6.83,6.68
7.28,1.29,94.56,6.68,6.54
7.28,1.25,94.71,6.54,6.4
7.32,1.18,94.71,6.4,6.4
7.5,0.08,94.85,6.4,6.11
7.5,0.1,94.56,6.11,5.26
7.31,1.26,94.71,5.26,5.26
7.32,1.2,95,5.26,5.26
7.3,1.25,94.85,5.26,5.12
7.08,0.11,94.85,5.12,5.12
7.32,1.23,94.56,5.12,4.98
7.22,1.04,94.85,4.98,4.83
7.3,4.85,94.56,4.83,4.83
7.35,1.08,94.85,4.83,4.69
6.74,1.08,94.71,4.69,4.69
7.34,1.59,94.71,4.69,4.69
7.29,1.35,94.56,4.69,4.69
7.49,0.14,94.85,4.69,4.55
7.08,0.11,94.85,4.55,4.55
7.51,0.11,94.85,4.55,4.55
7.49,0.1,94.85,4.55,4.55
6.48,1.38,95,4.55,4.55
7.33,2.72,95,4.55,3.55
7.22,6.24,94.85,3.55,3.55
7.35,1.03,94.85,3.55,3.55
7.29,1.34,95,3.55,3.41
7.29,1.26,95,3.41,3.41
7.37,5.66,94.85,3.41,3.41
7.5,0.09,95,3.41,3.13
7.41,0.91,94.71,3.13,2.99
7.31,1.34,94.85,2.99,2.84
7.37,1.37,94.85,2.84,2.7
7.34,0.99,95,2.7,2.7
7.3,1.26,95,2.7,2.56
7.36,0.81,94.85,2.56,2.42
7.3,1.29,94.71,2.42,2.42
6.69,1.21,94.71,2.42,2.42
7.3,1.83,94.71,2.42,1.99
7.29,1.32,94.85,1.99,1.99
7.32,1.19,94.85,1.99,1.85
7.36,1.03,95,1.85,1.71
6.75,0.08,94.56,1.71,1.71
7.48,0.13,94.71,1.71,1.71
7.29,1.33,94.56,1.71,1.71
7.29,4.4,94.56,1.71,0.85
7.01,0.08,94.56,0.85,0.85
7.51,0.18,94.56,0.85,0.85
6.8,1.34,94.71,0.85,0.71
7.31,1.25,94.71,0.71,0.57
7.51,0.09,94.71,0.57,0.42
7.51,2.62,94.56,0.42,0.42
7.35,4.29,94.71,0.42,0.42
7.29,1.26,94.42,0.42,0.28
7.37,0.94,94.56,0.28,0.28
6.76,1.14,94.71,0.28,0.28
