Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
7.75,0.96,91.95,84.35,84.35
7.66,1.44,91.81,84.35,84.35
7.65,1.46,92.39,84.35,84.21
7.86,0.12,92.24,84.21,84.21
7.87,0.14,92.24,84.21,84.07
7.67,1.45,92.24,84.07,84.07
7.67,1.42,92.39,84.07,84.07
7.66,1.13,92.53,84.07,83.93
7.74,0.99,92.24,83.93,83.93
7.15,1.44,92.53,83.93,83.93
7.86,0.1,92.53,83.93,83.78
7.86,1.36,92.68,83.78,83.78
7.71,1.09,92.68,83.78,83.64
7.64,1.45,92.53,83.64,83.64
7.86,0.1,92.24,83.64,83.64
7.87,1.79,92.39,83.64,83.5
7.72,0.11,92.24,83.5,83.5
7.65,1.44,92.24,83.5,83.5
7.85,0.12,92.39,83.5,83.36
7.83,0.48,92.53,83.36,83.36
7.85,0.1,92.39,83.36,83.21
7.86,0.1,92.82,83.21,83.21
7.73,0.99,92.39,83.21,83.21
7.64,1.44,92.97,83.21,83.07
7.7,1.14,92.82,83.07,83.07
7.85,0.1,92.97,83.07,83.07
7.56,1.4,92.97,83.07,82.93
7.84,0.21,92.68,82.93,82.93
7.59,1.41,92.97,82.93,82.79
7.81,0.34,92.82,82.79,82.79
7.2,1.44,92.68,82.79,82.65
7.3,1.41,92.97,82.65,82.65
7.61,1.35,92.68,82.65,82.5
7.6,1.41,92.82,82.5,82.36
7.81,0.25,92.97,82.36,82.36
7.61,1.38,93.11,82.36,82.22
7.62,0.43,93.26,82.22,82.22
7.6,1.34,92.97,82.22,82.08
7.6,1.35,93.11,82.08,81.93
7.14,1.35,93.26,81.93,81.93
7.04,1.33,93.55,81.93,80.94
7.6,1.39,93.4,80.94,80.94
7.58,1.37,93.4,80.94,80.8
7.59,1.36,93.26,80.8,80.8
7.59,1.35,93.4,80.8,80.65
7.59,1.81,93.4,80.65,80.65
7.57,0.78,93.55,80.65,80.51
7.71,3.93,93.55,80.51,80.37
7.72,0.74,93.26,80.37,80.37
7.71,0.57,93.26,80.37,80.23
7.66,0.67,93.4,80.23,80.23
7.72,0.7,93.4,80.23,80.08
7.26,0.43,93.84,80.08,79.94
7.7,0.76,93.69,79.94,79.94
7.69,0.72,93.55,79.94,79.8
